State,Year,Quarter,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Ladakh,2019,4,"84,706","324,689,360","3,833","43,108","470,440"
Ladakh,2020,1,"116,419","377,639,677","3,244","47,790","590,484"
Ladakh,2020,2,"155,010","523,792,999","3,379","53,034","695,673"
Ladakh,2020,3,"228,222","835,487,500","3,661","58,401","1,015,680"
Ladakh,2020,4,"332,134","1,111,963,471","3,348","64,853","1,232,757"
Ladakh,2021,1,"275,415","983,419,813","3,571","69,919","1,184,204"
Ladakh,2021,2,"399,716","1,427,259,095","3,571","75,048","4,391,632"
Lakshadweep,2018,1,778,"1,928,611","2,479",501,0
Lakshadweep,2018,2,"2,132","6,187,810","2,902",686,0
Lakshadweep,2018,3,"1,703","4,339,032","2,548",918,0
Lakshadweep,2018,4,"1,642","4,463,214","2,718","1,156",0
Lakshadweep,2019,1,"2,481","8,786,130","3,541","1,416",0
Lakshadweep,2019,2,"2,926","9,242,524","3,159","1,747","4,580"
Lakshadweep,2019,3,"3,104","9,651,761","3,109","2,117","15,038"
Lakshadweep,2019,4,"3,765","11,269,913","2,993","2,427","17,760"
Lakshadweep,2020,1,"5,151","13,502,369","2,621","2,772","21,982"
Lakshadweep,2020,2,"7,220","16,942,922","2,347","3,187","29,202"
Lakshadweep,2020,3,"8,589","21,306,833","2,481","3,644","32,128"
Lakshadweep,2020,4,"11,650","30,111,318","2,585","4,179","41,144"
Lakshadweep,2021,1,"9,085","27,042,783","2,977","4,577","47,283"
Lakshadweep,2021,2,"11,384","27,383,464","2,405","4,896","40,301"
Madhya Pradesh,2018,1,"8,025,395","8,681,603,403","1,082","2,553,603",0
Madhya Pradesh,2018,2,"10,561,412","15,924,081,067","1,508","3,441,662",0
Madhya Pradesh,2018,3,"17,126,985","24,149,742,205","1,410","4,309,309",0
Madhya Pradesh,2018,4,"21,397,555","33,905,608,073","1,585","5,365,442",0
Madhya Pradesh,2019,1,"37,301,049","48,070,279,522","1,289","6,414,403",0
Madhya Pradesh,2019,2,"40,846,013","68,334,566,381","1,673","7,301,172","50,642,151"
Madhya Pradesh,2019,3,"53,610,411","77,676,321,491","1,449","8,180,664","192,353,380"
Madhya Pradesh,2019,4,"68,131,989","104,687,926,791","1,537","9,165,241","237,844,976"
Madhya Pradesh,2020,1,"79,366,746","126,737,281,436","1,597","10,151,371","262,452,480"
Madhya Pradesh,2020,2,"76,340,573","147,922,015,289","1,938","11,374,423","253,770,044"
Madhya Pradesh,2020,3,"108,579,881","205,701,679,985","1,894","12,564,224","324,850,994"
Madhya Pradesh,2020,4,"153,652,541","284,275,139,772","1,850","13,737,947","405,571,446"
Madhya Pradesh,2021,1,"201,998,498","343,533,954,382","1,701","14,839,427","482,500,276"
Madhya Pradesh,2021,2,"223,314,680","425,500,768,036","1,905","15,940,935","727,741,649"
Maharashtra,2018,1,"16,387,034","21,711,613,258","1,325","6,106,994",0
Maharashtra,2018,2,"22,285,740","36,357,057,241","1,631","8,222,371",0
Maharashtra,2018,3,"31,538,538","52,260,817,733","1,657","10,435,033",0
Maharashtra,2018,4,"46,090,223","79,518,937,048","1,725","13,381,602",0
Maharashtra,2019,1,"75,079,069","111,420,690,920","1,484","16,284,451",0
Maharashtra,2019,2,"101,149,853","153,294,470,088","1,516","18,776,975","109,967,705"
Maharashtra,2019,3,"148,735,581","199,617,506,745","1,342","21,313,081","439,998,413"
Maharashtra,2019,4,"201,260,620","272,994,428,800","1,356","23,745,297","543,654,112"
Maharashtra,2020,1,"238,944,081","319,995,196,718","1,339","26,168,390","615,146,568"
Maharashtra,2020,2,"184,790,761","296,359,517,159","1,604","28,765,086","506,354,812"
Maharashtra,2020,3,"268,310,924","440,307,079,012","1,641","31,409,513","668,197,101"
Maharashtra,2020,4,"407,621,004","622,155,530,832","1,526","34,432,631","952,006,770"
Maharashtra,2021,1,"517,860,240","769,887,352,153","1,487","37,077,537","1,101,976,484"
Maharashtra,2021,2,"573,616,486","915,115,055,624","1,595","39,664,697","1,208,083,592"
Manipur,2018,1,"84,069","128,046,174","1,523","29,925",0
Manipur,2018,2,"151,721","253,209,721","1,669","46,055",0
Manipur,2018,3,"189,258","383,331,245","2,025","61,935",0
Manipur,2018,4,"236,110","605,683,559","2,565","82,589",0
Manipur,2019,1,"265,409","659,898,060","2,486","99,527",0
Manipur,2019,2,"257,425","722,789,942","2,808","117,747","464,829"
Manipur,2019,3,"345,008","863,552,003","2,503","136,316","1,594,205"
Manipur,2019,4,"449,344","1,200,897,682","2,673","155,358","1,855,488"
Manipur,2020,1,"818,801","2,598,590,381","3,174","177,374","2,175,642"
Manipur,2020,2,"1,083,068","3,198,936,213","2,954","215,496","3,011,491"
Manipur,2020,3,"1,420,168","4,615,976,121","3,250","258,563","3,552,375"
Manipur,2020,4,"1,627,852","5,602,224,558","3,441","288,772","3,783,432"
Manipur,2021,1,"2,303,535","7,070,287,514","3,069","312,668","3,709,227"
Manipur,2021,2,"3,086,275","7,889,827,962","2,556","335,409","7,269,002"
Meghalaya,2018,1,"49,571","66,250,260","1,336","18,513",0
Meghalaya,2018,2,"67,857","117,004,668","1,724","26,618",0
Meghalaya,2018,3,"110,290","209,853,662","1,903","37,281",0
Meghalaya,2018,4,"161,132","337,585,679","2,095","49,634",0
Meghalaya,2019,1,"208,741","399,037,162","1,912","61,487",0
Meghalaya,2019,2,"232,286","492,931,289","2,122","74,746","395,764"
Meghalaya,2019,3,"306,550","612,218,602","1,997","87,395","1,387,814"
Meghalaya,2019,4,"365,981","742,436,472","2,029","100,030","1,490,542"
Meghalaya,2020,1,"502,283","1,120,134,841","2,230","113,814","1,716,211"
Meghalaya,2020,2,"635,395","1,153,735,154","1,816","136,211","2,205,253"
Meghalaya,2020,3,"597,579","1,237,059,001","2,070","157,741","2,384,534"
Meghalaya,2020,4,"754,008","1,804,242,572","2,393","176,447","2,745,917"
Meghalaya,2021,1,"747,646","2,055,515,278","2,749","190,869","2,939,026"
Meghalaya,2021,2,"909,594","2,193,617,255","2,412","205,686","7,290,804"
Mizoram,2018,1,"18,561","45,227,220","2,437","7,593",0
Mizoram,2018,2,"27,051","83,508,406","3,087","10,422",0
Mizoram,2018,3,"39,316","116,600,738","2,966","14,502",0
Mizoram,2018,4,"55,242","190,426,853","3,447","19,365",0
Mizoram,2019,1,"70,306","218,160,895","3,103","23,670",0
Mizoram,2019,2,"75,671","248,016,708","3,278","28,696","133,025"
Mizoram,2019,3,"98,094","278,793,900","2,842","34,134","457,834"
Mizoram,2019,4,"125,239","368,689,351","2,944","39,809","529,168"
Mizoram,2020,1,"153,609","392,077,579","2,552","46,499","644,683"
Mizoram,2020,2,"198,462","457,193,433","2,304","55,574","739,308"
Mizoram,2020,3,"254,703","707,944,176","2,779","68,315","924,865"
Mizoram,2020,4,"322,607","986,522,116","3,058","78,731","1,096,182"
Mizoram,2021,1,"329,575","1,101,105,587","3,341","85,750","1,193,214"
Mizoram,2021,2,"394,340","1,122,874,473","2,847","92,552","4,014,597"
Nagaland,2018,1,"42,845","78,005,891","1,821","15,074",0
Nagaland,2018,2,"65,599","153,325,578","2,337","22,436",0
Nagaland,2018,3,"94,371","241,792,743","2,562","32,090",0
Nagaland,2018,4,"139,333","388,013,468","2,785","42,997",0
Nagaland,2019,1,"168,579","441,941,712","2,622","53,911",0
Nagaland,2019,2,"188,753","520,066,682","2,755","66,891","362,497"
Nagaland,2019,3,"261,878","650,956,472","2,486","80,077","1,244,022"
Nagaland,2019,4,"317,170","834,537,138","2,631","93,124","1,454,551"
Nagaland,2020,1,"378,051","894,780,029","2,367","107,143","1,684,520"
Nagaland,2020,2,"517,566","1,137,674,504","2,198","130,205","2,119,279"
Nagaland,2020,3,"736,319","2,009,649,143","2,729","173,106","2,868,642"
Nagaland,2020,4,"847,825","2,773,084,871","3,271","192,188","2,922,121"
Nagaland,2021,1,"975,897","3,107,450,485","3,184","207,808","2,980,581"
Nagaland,2021,2,"1,130,791","3,156,293,964","2,791","223,337","6,716,892"
Odisha,2018,1,"5,809,821","4,627,632,211",797,"1,594,015",0
Odisha,2018,2,"8,158,144","8,488,310,340","1,040","2,185,781",0
Odisha,2018,3,"30,052,155","23,094,515,776",768,"2,795,718",0
Odisha,2018,4,"21,142,798","23,429,869,572","1,108","3,623,911",0
Odisha,2019,1,"34,031,942","35,427,127,931","1,041","4,320,744",0
Odisha,2019,2,"29,512,024","44,754,854,872","1,516","4,845,359","33,955,545"
Odisha,2019,3,"41,422,272","57,304,577,359","1,383","5,387,209","130,181,456"
Odisha,2019,4,"64,995,633","79,769,373,632","1,227","6,115,537","189,905,719"
Odisha,2020,1,"53,682,307","91,956,798,199","1,713","6,652,970","175,918,622"
Odisha,2020,2,"50,028,576","91,733,036,612","1,834","7,258,315","154,682,772"
Odisha,2020,3,"66,033,829","122,463,943,804","1,855","7,901,755","205,597,666"
Odisha,2020,4,"92,324,950","178,302,663,015","1,931","8,598,751","270,085,293"
Odisha,2021,1,"111,460,358","213,397,736,188","1,915","9,233,009","301,315,474"
Odisha,2021,2,"131,824,337","245,864,117,477","1,865","9,891,029","367,576,494"
Puducherry,2018,1,"104,212","165,825,971","1,591","49,318",0
Puducherry,2018,2,"130,261","285,801,120","2,194","65,580",0
Puducherry,2018,3,"190,271","417,658,075","2,195","81,546",0
Puducherry,2018,4,"307,964","625,691,665","2,032","109,494",0
Puducherry,2019,1,"501,092","906,473,024","1,809","133,059",0
Puducherry,2019,2,"580,077","1,211,446,910","2,088","156,458","661,932"
Puducherry,2019,3,"716,826","1,460,708,357","2,038","177,868","2,476,922"
Puducherry,2019,4,"1,012,655","1,932,028,318","1,908","204,292","3,263,122"
Puducherry,2020,1,"1,207,921","2,205,277,477","1,826","230,908","3,820,943"
Puducherry,2020,2,"1,033,383","1,960,030,980","1,897","255,600","3,057,608"
Puducherry,2020,3,"1,730,902","3,598,080,229","2,079","285,173","4,222,159"
Puducherry,2020,4,"2,716,003","4,930,526,218","1,815","319,626","6,377,136"
Puducherry,2021,1,"3,309,432","5,899,309,572","1,783","346,279","7,914,507"
Puducherry,2021,2,"3,751,387","6,498,834,697","1,732","369,961","5,178,916"
Punjab,2018,1,"1,870,433","2,780,758,225","1,487","847,142",0
Punjab,2018,2,"2,581,163","4,684,672,212","1,815","1,152,190",0
Punjab,2018,3,"3,462,108","7,065,687,044","2,041","1,473,148",0
Punjab,2018,4,"4,887,137","10,781,982,574","2,206","1,865,715",0
Punjab,2019,1,"7,172,137","13,574,490,002","1,893","2,226,590",0
Punjab,2019,2,"8,509,830","18,614,793,395","2,187","2,600,112","10,928,094"
Punjab,2019,3,"10,706,812","22,905,815,606","2,139","2,962,713","40,860,886"
Punjab,2019,4,"13,698,625","29,989,802,246","2,189","3,321,742","47,673,880"
Punjab,2020,1,"15,217,784","31,374,185,266","2,062","3,739,502","53,853,710"
Punjab,2020,2,"14,081,294","30,284,654,252","2,151","4,225,481","51,289,576"
Punjab,2020,3,"17,209,573","40,123,092,148","2,331","4,694,233","58,946,732"
Punjab,2020,4,"22,997,925","53,775,406,480","2,338","5,157,868","71,191,183"
Punjab,2021,1,"26,770,835","58,690,887,091","2,192","5,568,777","81,052,268"
Punjab,2021,2,"32,171,248","69,531,058,563","2,161","5,976,548","85,894,089"
Rajasthan,2018,1,"7,591,690","8,926,293,131","1,176","3,158,202",0
Rajasthan,2018,2,"9,973,697","15,559,086,176","1,560","4,212,964",0
Rajasthan,2018,3,"14,257,098","24,040,768,671","1,686","5,175,453",0
Rajasthan,2018,4,"20,959,723","37,909,087,083","1,809","6,358,738",0
Rajasthan,2019,1,"43,956,040","61,141,158,576","1,391","7,712,204",0
Rajasthan,2019,2,"50,009,286","89,107,313,173","1,782","8,783,935","62,787,336"
Rajasthan,2019,3,"67,303,617","112,468,290,032","1,671","9,797,304","238,338,999"
Rajasthan,2019,4,"85,074,242","159,452,410,050","1,874","10,925,031","288,904,693"
Rajasthan,2020,1,"102,258,812","190,308,238,561","1,861","12,142,053","341,815,756"
Rajasthan,2020,2,"101,954,656","193,763,273,003","1,900","13,563,201","329,941,181"
Rajasthan,2020,3,"149,088,676","293,678,306,162","1,970","14,969,412","436,682,870"
Rajasthan,2020,4,"190,283,435","386,034,779,837","2,029","16,329,494","511,015,109"
Rajasthan,2021,1,"252,730,919","491,492,581,658","1,945","17,661,088","632,535,059"
Rajasthan,2021,2,"287,477,039","561,702,765,169","1,954","18,980,985","1,072,091,232"
Sikkim,2018,1,"44,078","64,650,939","1,467","20,051",0
Sikkim,2018,2,"74,578","143,693,086","1,927","28,097",0
Sikkim,2018,3,"108,500","235,080,227","2,167","37,637",0
Sikkim,2018,4,"154,533","383,141,358","2,479","48,538",0
Sikkim,2019,1,"240,287","457,993,634","1,906","58,956",0
Sikkim,2019,2,"388,244","738,894,243","1,903","70,999","398,520"
Sikkim,2019,3,"552,436","884,716,448","1,601","82,128","1,316,804"
Sikkim,2019,4,"767,070","1,176,509,602","1,534","92,972","1,552,004"
Sikkim,2020,1,"528,118","1,053,476,272","1,995","104,631","1,697,163"
Sikkim,2020,2,"517,731","1,054,618,788","2,037","119,921","1,912,335"
Sikkim,2020,3,"596,435","1,400,926,729","2,349","134,773","2,156,470"
Sikkim,2020,4,"735,035","1,919,275,805","2,611","148,543","2,478,670"
Sikkim,2021,1,"800,189","2,217,667,727","2,771","160,213","2,795,331"
Sikkim,2021,2,"976,714","2,424,899,580","2,483","171,740","4,541,121"
Tamil Nadu,2018,1,"6,726,622","11,261,557,698","1,674","2,104,754",0
Tamil Nadu,2018,2,"9,992,128","20,125,844,276","2,014","2,996,036",0
Tamil Nadu,2018,3,"15,774,078","29,330,092,241","1,859","3,900,177",0
Tamil Nadu,2018,4,"22,457,444","43,302,073,976","1,928","5,199,878",0
Tamil Nadu,2019,1,"32,275,045","56,204,036,816","1,741","6,296,303",0
Tamil Nadu,2019,2,"32,171,737","64,207,676,026","1,996","7,429,609","33,658,961"
Tamil Nadu,2019,3,"41,410,183","78,959,604,644","1,907","8,428,835","124,690,342"
Tamil Nadu,2019,4,"56,596,411","103,190,865,513","1,823","9,620,493","155,011,717"
Tamil Nadu,2020,1,"66,953,473","116,569,686,179","1,741","10,872,368","179,908,753"
Tamil Nadu,2020,2,"51,870,110","95,826,508,897","1,847","12,150,786","144,907,447"
Tamil Nadu,2020,3,"70,277,825","143,841,415,499","2,047","13,643,451","194,683,284"
Tamil Nadu,2020,4,"111,179,701","206,473,197,501","1,857","15,357,586","288,233,552"
Tamil Nadu,2021,1,"136,556,674","248,668,143,874","1,821","16,632,608","348,801,714"
Tamil Nadu,2021,2,"146,158,442","263,487,341,027","1,803","17,804,542","343,968,474"
Telangana,2018,1,"8,522,766","13,308,204,119","1,561","3,315,560",0
Telangana,2018,2,"10,764,670","23,017,201,518","2,138","4,260,115",0
Telangana,2018,3,"19,332,703","32,030,093,210","1,657","5,138,501",0
Telangana,2018,4,"28,921,154","49,509,088,448","1,712","6,529,679",0
Telangana,2019,1,"65,290,702","95,523,262,036","1,463","7,963,425",0
Telangana,2019,2,"89,610,379","155,676,443,182","1,737","9,046,007","80,842,302"
Telangana,2019,3,"121,495,376","201,930,021,130","1,662","10,090,557","318,124,511"
Telangana,2019,4,"163,572,258","280,746,765,548","1,716","11,220,691","399,239,044"
Telangana,2020,1,"199,409,525","371,343,780,368","1,862","12,306,860","454,723,816"
Telangana,2020,2,"152,055,143","321,531,839,352","2,115","13,378,191","367,130,505"
Telangana,2020,3,"236,372,126","505,961,144,756","2,141","14,590,882","527,781,925"
Telangana,2020,4,"343,643,787","696,350,439,227","2,026","15,927,797","764,614,235"
Telangana,2021,1,"412,572,110","799,359,264,047","1,938","17,149,069","920,040,042"
Telangana,2021,2,"495,867,544","1,027,958,332,798","2,073","18,306,880","905,317,692"
Tripura,2018,1,"148,157","137,978,915",931,"55,157",0
Tripura,2018,2,"214,559","236,891,719","1,104","83,369",0
Tripura,2018,3,"377,703","453,863,388","1,202","116,874",0
Tripura,2018,4,"448,059","624,885,599","1,395","153,265",0
Tripura,2019,1,"580,926","756,894,942","1,303","183,254",0
Tripura,2019,2,"532,558","841,821,483","1,581","217,644","953,627"
Tripura,2019,3,"711,717","1,017,377,423","1,429","245,456","3,350,991"
Tripura,2019,4,"801,824","1,215,400,160","1,516","272,298","3,610,807"
Tripura,2020,1,"924,502","1,588,778,806","1,719","299,962","4,063,223"
Tripura,2020,2,"1,052,520","1,769,175,884","1,681","336,666","4,443,221"
Tripura,2020,3,"1,317,885","2,341,819,516","1,777","376,731","5,777,908"
Tripura,2020,4,"1,651,890","3,182,130,996","1,926","409,110","6,017,249"
Tripura,2021,1,"1,511,423","3,335,341,570","2,207","439,636","6,009,660"
Tripura,2021,2,"1,744,429","3,468,154,361","1,988","472,153","9,500,881"
Uttarakhand,2018,1,"1,246,685","1,508,545,359","1,210","483,043",0
Uttarakhand,2018,2,"1,704,122","2,679,755,379","1,573","649,142",0
Uttarakhand,2018,3,"2,229,132","3,726,573,040","1,672","810,612",0
Uttarakhand,2018,4,"3,178,761","5,654,272,138","1,779","1,012,103",0
Uttarakhand,2019,1,"5,546,001","7,183,529,175","1,295","1,224,955",0
Uttarakhand,2019,2,"4,813,275","8,588,532,851","1,784","1,414,339","7,454,279"
Uttarakhand,2019,3,"5,710,476","9,729,032,070","1,704","1,585,859","24,660,988"
Uttarakhand,2019,4,"7,362,116","12,573,706,305","1,708","1,752,677","28,853,867"
Uttarakhand,2020,1,"9,131,784","16,158,080,259","1,769","1,943,606","32,631,265"
Uttarakhand,2020,2,"9,047,770","16,094,187,702","1,779","2,148,567","31,074,793"
Uttarakhand,2020,3,"11,818,935","22,103,510,968","1,870","2,365,438","40,377,348"
Uttarakhand,2020,4,"17,613,271","31,792,739,329","1,805","2,596,244","52,564,888"
Uttarakhand,2021,1,"20,608,402","36,288,189,400","1,761","2,802,122","59,282,260"
Uttarakhand,2021,2,"24,000,432","40,990,817,875","1,708","3,004,040","78,380,036"
Uttar Pradesh,2018,1,"12,537,805","13,939,970,923","1,112","4,694,250",0
Uttar Pradesh,2018,2,"17,710,943","25,720,201,696","1,452","6,442,554",0
Uttar Pradesh,2018,3,"26,515,356","37,012,114,369","1,396","8,096,483",0
Uttar Pradesh,2018,4,"36,100,767","55,096,743,576","1,526","10,341,964",0
Uttar Pradesh,2019,1,"57,324,504","76,524,180,134","1,335","12,458,661",0
Uttar Pradesh,2019,2,"58,883,500","98,917,519,371","1,680","14,316,349","78,394,040"
Uttar Pradesh,2019,3,"68,623,959","111,268,137,475","1,621","16,044,607","268,142,606"
Uttar Pradesh,2019,4,"86,905,005","145,538,926,507","1,675","17,949,542","324,068,625"
Uttar Pradesh,2020,1,"97,239,132","172,416,434,961","1,773","20,136,256","374,282,083"
Uttar Pradesh,2020,2,"100,851,965","178,744,016,130","1,772","22,498,519","383,703,534"
Uttar Pradesh,2020,3,"127,405,259","248,689,955,423","1,952","24,838,116","450,784,508"
Uttar Pradesh,2020,4,"178,167,517","357,428,826,778","2,006","27,249,134","552,220,798"
Uttar Pradesh,2021,1,"204,499,547","396,287,587,578","1,938","29,482,075","639,718,324"
Uttar Pradesh,2021,2,"241,949,131","482,172,489,166","1,993","31,651,894","673,598,864"
West Bengal,2018,1,"11,710,225","10,625,978,552",907,"2,604,789",0
West Bengal,2018,2,"18,082,446","18,629,183,470","1,030","3,833,795",0
West Bengal,2018,3,"53,705,416","41,843,934,183",779,"4,851,740",0
West Bengal,2018,4,"36,513,548","40,489,619,212","1,109","6,279,278",0
West Bengal,2019,1,"47,626,388","50,164,672,624","1,053","7,449,425",0
West Bengal,2019,2,"47,023,535","57,105,691,119","1,214","8,612,795","49,514,201"
West Bengal,2019,3,"66,444,829","70,540,532,617","1,062","9,643,222","176,559,011"
West Bengal,2019,4,"96,805,838","88,203,610,255",911,"10,885,058","244,326,613"
West Bengal,2020,1,"66,250,381","96,653,305,191","1,459","11,960,822","207,068,218"
West Bengal,2020,2,"57,676,797","100,099,431,877","1,736","13,222,022","198,589,332"
West Bengal,2020,3,"79,954,504","156,813,355,855","1,961","14,448,366","246,554,831"
West Bengal,2020,4,"100,340,645","199,165,491,366","1,985","15,662,093","291,721,919"
West Bengal,2021,1,"118,254,052","242,937,207,476","2,054","16,808,799","316,832,674"
West Bengal,2021,2,"141,897,437","279,434,811,059","1,969","17,979,979","275,341,466"
